tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,76,"Horror,Mystery,Thriller"
tt0012349,movie,The Kid,The Kid,0,1921,\N,68,"Comedy,Drama,Family"
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,\N,94,"Fantasy,Horror"
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,\N,45,"Action,Comedy,Romance"
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,\N,95,"Adventure,Comedy,Drama"
tt0017136,movie,Metropolis,Metropolis,0,1927,\N,153,"Drama,Sci-Fi"
tt0017925,movie,The General,The General,0,1926,\N,78,"Action,Adventure,Comedy"
tt0018455,movie,Sunrise,Sunrise: A Song of Two Humans,0,1927,\N,94,"Drama,Romance"
tt0018773,movie,The Circus,The Circus,0,1928,\N,72,"Comedy,Family,Romance"
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,\N,110,"Biography,Drama,History"
tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,\N,152,"Drama,War"
tt0021749,movie,City Lights,City Lights,0,1931,\N,87,"Comedy,Drama,Romance"
tt0022100,movie,M,M - Eine Stadt sucht einen Mörder,0,1931,\N,117,"Crime,Mystery,Thriller"
tt0025316,movie,It Happened One Night,It Happened One Night,0,1934,\N,105,"Comedy,Romance"
tt0027977,movie,Modern Times,Modern Times,0,1936,\N,87,"Comedy,Drama,Romance"
tt0028950,movie,The Grand Illusion,La grande illusion,0,1937,\N,113,"Drama,War"
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,\N,238,"Drama,Romance,War"
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,\N,129,"Comedy,Drama"
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,\N,102,"Adventure,Family,Fantasy"
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,0,1940,\N,129,Drama
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,\N,125,"Comedy,Drama,War"
tt0032976,movie,Rebecca,Rebecca,0,1940,\N,130,"Drama,Film-Noir,Mystery"
tt0033045,movie,The Shop Around the Corner,The Shop Around the Corner,0,1940,\N,99,"Comedy,Drama,Romance"
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,\N,119,"Drama,Mystery"
tt0033870,movie,The Maltese Falcon,The Maltese Falcon,0,1941,\N,100,"Crime,Film-Noir,Mystery"
tt0034583,movie,Casablanca,Casablanca,0,1942,\N,102,"Drama,Romance,War"
tt0035446,movie,To Be or Not to Be,To Be or Not to Be,0,1942,\N,99,"Comedy,Romance,War"
tt0036775,movie,Double Indemnity,Double Indemnity,0,1944,\N,107,"Crime,Drama,Film-Noir"
tt0036868,movie,The Best Years of Our Lives,The Best Years of Our Lives,0,1946,\N,170,"Drama,Romance,War"
tt0037558,movie,Brief Encounter,Brief Encounter,0,1945,\N,86,"Drama,Romance"
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,0,1946,\N,130,"Drama,Family,Fantasy"
tt0038890,movie,"Rome, Open City",Roma città aperta,0,1945,\N,103,"Drama,Thriller,War"
tt0039689,movie,Out of the Past,Out of the Past,0,1947,\N,97,"Crime,Drama,Film-Noir"
tt0040522,movie,Bicycle Thieves,Ladri di biciclette,0,1948,\N,89,Drama
tt0040725,movie,The Red Shoes,The Red Shoes,0,1948,\N,135,"Drama,Music,Romance"
tt0040897,movie,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,0,1948,\N,126,"Adventure,Drama,Western"
tt0041546,movie,Kind Hearts and Coronets,Kind Hearts and Coronets,0,1949,\N,106,"Comedy,Crime"
tt0041959,movie,The Third Man,The Third Man,0,1949,\N,104,"Film-Noir,Mystery,Thriller"
tt0042041,movie,White Heat,White Heat,0,1949,\N,114,"Action,Crime,Drama"
tt0042192,movie,All About Eve,All About Eve,0,1950,\N,138,Drama
tt0042876,movie,Rashomon,Rashômon,0,1950,\N,88,"Crime,Drama,Mystery"
tt0043014,movie,Sunset Blvd.,Sunset Blvd.,0,1950,\N,110,"Drama,Film-Noir"
tt0043338,movie,Ace in the Hole,Ace in the Hole,0,1951,\N,111,"Drama,Film-Noir"
tt0044706,movie,High Noon,High Noon,0,1952,\N,85,"Drama,Thriller,Western"
tt0044741,movie,Ikiru,Ikiru,0,1952,\N,143,Drama
tt0045152,movie,Singin' in the Rain,Singin' in the Rain,0,1952,\N,103,"Comedy,Musical,Romance"
tt0045274,movie,Umberto D.,Umberto D.,0,1952,\N,89,Drama
tt0046250,movie,Roman Holiday,Roman Holiday,0,1953,\N,118,"Comedy,Romance"
tt0046268,movie,The Wages of Fear,Le salaire de la peur,0,1953,\N,131,"Adventure,Drama,Thriller"
tt0046359,movie,Stalag 17,Stalag 17,0,1953,\N,120,"Comedy,Drama,War"
tt0046438,movie,Tokyo Story,Tôkyô monogatari,0,1953,\N,136,Drama
tt0046911,movie,Diabolique,Les diaboliques,0,1955,\N,117,"Crime,Drama,Horror"
tt0046912,movie,Dial M for Murder,Dial M for Murder,0,1954,\N,105,"Crime,Thriller"
tt0047296,movie,On the Waterfront,On the Waterfront,0,1954,\N,108,"Crime,Drama,Thriller"
tt0047396,movie,Rear Window,Rear Window,0,1954,\N,112,"Mystery,Thriller"
tt0047478,movie,Seven Samurai,Shichinin no samurai,0,1954,\N,207,"Action,Drama"
tt0047528,movie,La strada,La strada,0,1954,\N,108,Drama
tt0048021,movie,Rififi,Du rififi chez les hommes,0,1955,\N,118,"Crime,Drama,Thriller"
tt0048424,movie,The Night of the Hunter,The Night of the Hunter,0,1955,\N,92,"Crime,Drama,Film-Noir"
tt0048473,movie,Pather Panchali,Pather Panchali,0,1955,\N,125,Drama
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957,\N,96,"Crime,Drama"
tt0050212,movie,The Bridge on the River Kwai,The Bridge on the River Kwai,0,1957,\N,161,"Adventure,Drama,War"
tt0050613,movie,Throne of Blood,Kumonosu-jô,0,1957,\N,110,Drama
tt0050783,movie,Nights of Cabiria,Le notti di Cabiria,0,1957,\N,110,Drama
tt0050825,movie,Paths of Glory,Paths of Glory,0,1957,\N,88,"Drama,War"
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,0,1957,\N,96,"Drama,Fantasy"
tt0050986,movie,Wild Strawberries,Smultronstället,0,1957,\N,91,"Drama,Romance"
tt0051036,movie,Sweet Smell of Success,Sweet Smell of Success,0,1957,\N,96,"Drama,Film-Noir"
tt0051201,movie,Witness for the Prosecution,Witness for the Prosecution,0,1957,\N,116,"Crime,Drama,Mystery"
tt0051808,movie,The Hidden Fortress,Kakushi-toride no san-akunin,0,1958,\N,139,"Action,Adventure,Drama"
tt0052311,movie,Touch of Evil,Touch of Evil,0,1958,\N,95,"Crime,Drama,Film-Noir"
tt0052357,movie,Vertigo,Vertigo,0,1958,\N,128,"Mystery,Romance,Thriller"
tt0052561,movie,Anatomy of a Murder,Anatomy of a Murder,0,1959,\N,161,"Drama,Mystery"
tt0052618,movie,Ben-Hur,Ben-Hur,0,1959,\N,212,"Adventure,Drama"
tt0053125,movie,North by Northwest,North by Northwest,0,1959,\N,136,"Action,Adventure,Mystery"
tt0053198,movie,The 400 Blows,Les quatre cents coups,0,1959,\N,99,"Crime,Drama"
tt0053221,movie,Rio Bravo,Rio Bravo,0,1959,\N,141,"Drama,Western"
tt0053291,movie,Some Like It Hot,Some Like It Hot,0,1959,\N,121,"Comedy,Music,Romance"
tt0053604,movie,The Apartment,The Apartment,0,1960,\N,125,"Comedy,Drama,Romance"
tt0053779,movie,La Dolce Vita,La dolce vita,0,1960,\N,174,"Comedy,Drama"
tt0053946,movie,Inherit the Wind,Inherit the Wind,0,1960,\N,128,"Biography,Drama,History"
tt0053976,movie,The Virgin Spring,Jungfrukällan,0,1960,\N,89,Drama
tt0054215,movie,Psycho,Psycho,0,1960,\N,109,"Horror,Mystery,Thriller"
tt0054997,movie,The Hustler,The Hustler,0,1961,\N,134,"Drama,Sport"
tt0055031,movie,Judgment at Nuremberg,Judgment at Nuremberg,0,1961,\N,179,"Drama,War"
tt0055601,movie,Viridiana,Viridiana,0,1961,\N,91,Drama
tt0055630,movie,Yojimbo,Yôjinbô,0,1961,\N,110,"Action,Drama,Thriller"
tt0056058,movie,Harakiri,Seppuku,0,1962,\N,133,"Action,Drama,Mystery"
tt0056111,movie,Ivan's Childhood,Ivanovo detstvo,0,1962,\N,95,"Drama,War"
tt0056172,movie,Lawrence of Arabia,Lawrence of Arabia,0,1962,\N,218,"Adventure,Biography,Drama"
tt0056217,movie,The Man Who Shot Liberty Valance,The Man Who Shot Liberty Valance,0,1962,\N,123,"Drama,Western"
tt0056443,movie,Sanjuro,Tsubaki Sanjûrô,0,1962,\N,96,"Action,Drama,Thriller"
tt0056592,movie,To Kill a Mockingbird,To Kill a Mockingbird,0,1962,\N,129,"Crime,Drama"
tt0056687,movie,What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane?,0,1962,\N,134,"Drama,Horror,Thriller"
tt0056732,movie,The Exterminating Angel,El ángel exterminador,0,1962,\N,95,"Drama,Fantasy"
tt0056801,movie,8½,8½,0,1963,\N,138,Drama
tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,1964,\N,95,"Comedy,War"
tt0057115,movie,The Great Escape,The Great Escape,0,1963,\N,172,"Adventure,Drama,History"
tt0057358,movie,Winter Light,Nattvardsgästerna,0,1963,\N,81,Drama
tt0057565,movie,High and Low,Tengoku to jigoku,0,1963,\N,143,"Crime,Drama,Mystery"
tt0058946,movie,The Battle of Algiers,La battaglia di Algeri,0,1966,\N,121,"Drama,War"
tt0059578,movie,For a Few Dollars More,Per qualche dollaro in più,0,1965,\N,132,"Drama,Western"
tt0059742,movie,The Sound of Music,The Sound of Music,0,1965,\N,172,"Biography,Drama,Family"
tt0060107,movie,Andrei Rublev,Andrey Rublyov,0,1966,\N,205,"Biography,Drama,History"
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",0,1966,\N,161,"Adventure,Western"
tt0060827,movie,Persona,Persona,0,1966,\N,85,"Drama,Thriller"
tt0061184,movie,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,0,1966,\N,131,Drama
tt0061512,movie,Cool Hand Luke,Cool Hand Luke,0,1967,\N,127,"Crime,Drama"
tt0061722,movie,The Graduate,The Graduate,0,1967,\N,106,"Comedy,Drama,Romance"
tt0062229,movie,Le Samouraï,Le Samouraï,0,1967,\N,105,"Crime,Drama,Thriller"
tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,\N,149,"Adventure,Sci-Fi"
tt0063442,movie,Planet of the Apes,Planet of the Apes,0,1968,\N,112,"Adventure,Sci-Fi"
tt0063522,movie,Rosemary's Baby,Rosemary's Baby,0,1968,\N,137,"Drama,Horror"
tt0064115,movie,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,0,1969,\N,110,"Biography,Crime,Drama"
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,0,1968,\N,166,Western
tt0065234,movie,Z,Z,0,1969,\N,127,"Crime,Drama,Thriller"
tt0066763,movie,Anand,Anand,0,1971,\N,122,"Drama,Musical"
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,"Crime,Sci-Fi"
tt0067093,movie,Fiddler on the Roof,Fiddler on the Roof,0,1971,\N,181,"Drama,Family,Musical"
tt0067328,movie,The Last Picture Show,The Last Picture Show,0,1971,\N,118,"Drama,Romance"
tt0068646,movie,The Godfather,The Godfather,0,1972,\N,175,"Crime,Drama"
tt0069281,movie,Sleuth,Sleuth,0,1972,\N,138,"Mystery,Thriller"
tt0069293,movie,Solaris,Solyaris,0,1972,\N,167,"Drama,Mystery,Sci-Fi"
tt0069467,movie,Cries & Whispers,Viskningar och rop,0,1972,\N,91,Drama
tt0070047,movie,The Exorcist,The Exorcist,0,1973,\N,122,Horror
tt0070510,movie,Paper Moon,Paper Moon,0,1973,\N,102,"Comedy,Crime,Drama"
tt0070511,movie,Papillon,Papillon,0,1973,\N,151,"Biography,Crime,Drama"
tt0070735,movie,The Sting,The Sting,0,1973,\N,129,"Comedy,Crime,Drama"
tt0071315,movie,Chinatown,Chinatown,0,1974,\N,130,"Drama,Mystery,Thriller"
tt0071411,movie,Dersu Uzala,Dersu Uzala,0,1975,\N,142,"Adventure,Biography,Drama"
tt0071562,movie,The Godfather Part II,The Godfather Part II,0,1974,\N,202,"Crime,Drama"
tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,\N,91,"Adventure,Comedy,Fantasy"
tt0072417,movie,A Woman Under the Influence,A Woman Under the Influence,0,1974,\N,155,"Drama,Romance"
tt0072431,movie,Young Frankenstein,Young Frankenstein,0,1974,\N,106,Comedy
tt0072443,movie,Mirror,Zerkalo,0,1975,\N,107,"Biography,Drama"
tt0072684,movie,Barry Lyndon,Barry Lyndon,0,1975,\N,185,"Adventure,Drama,War"
tt0072890,movie,Dog Day Afternoon,Dog Day Afternoon,0,1975,\N,125,"Biography,Crime,Drama"
tt0073195,movie,Jaws,Jaws,0,1975,\N,124,"Adventure,Mystery,Thriller"
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,\N,133,Drama
tt0073707,movie,Sholay,Sholay,0,1975,\N,204,"Action,Adventure,Comedy"
tt0074896,movie,The Message,The Message,0,1976,\N,177,"Biography,Drama,History"
tt0074958,movie,Network,Network,0,1976,\N,121,Drama
tt0075148,movie,Rocky,Rocky,0,1976,\N,120,"Drama,Sport"
tt0075314,movie,Taxi Driver,Taxi Driver,0,1976,\N,114,"Crime,Drama"
tt0075686,movie,Annie Hall,Annie Hall,0,1977,\N,93,"Comedy,Romance"
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,0,1977,\N,121,"Action,Adventure,Fantasy"
tt0077416,movie,The Deer Hunter,The Deer Hunter,0,1978,\N,183,"Drama,War"
tt0077711,movie,Autumn Sonata,Höstsonaten,0,1978,\N,99,"Drama,Music"
tt0078748,movie,Alien,Alien,0,1979,\N,117,"Horror,Sci-Fi"
tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,\N,147,"Drama,Mystery,War"
tt0079470,movie,Life of Brian,Life of Brian,0,1979,\N,94,Comedy
tt0079944,movie,Stalker,Stalker,0,1979,\N,162,"Drama,Sci-Fi"
tt0080455,movie,The Blues Brothers,The Blues Brothers,0,1980,\N,133,"Action,Adventure,Comedy"
tt0080678,movie,The Elephant Man,The Elephant Man,0,1980,\N,124,"Biography,Drama"
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980,\N,124,"Action,Adventure,Fantasy"
tt0081398,movie,Raging Bull,Raging Bull,0,1980,\N,129,"Biography,Drama,Sport"
tt0081505,movie,The Shining,The Shining,0,1980,\N,146,"Drama,Horror"
tt0082096,movie,Das Boot,Das Boot,0,1981,\N,149,"Drama,War"
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,\N,115,"Action,Adventure"
tt0083658,movie,Blade Runner,Blade Runner,0,1982,\N,117,"Action,Drama,Sci-Fi"
tt0083866,movie,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0,1982,\N,115,"Adventure,Family,Sci-Fi"
tt0083922,movie,Fanny and Alexander,Fanny och Alexander,0,1982,\N,188,Drama
tt0083946,movie,Fitzcarraldo,Fitzcarraldo,0,1982,\N,158,"Adventure,Drama"
tt0083987,movie,Gandhi,Gandhi,0,1982,\N,191,"Biography,Drama,History"
tt0084503,movie,Pink Floyd: The Wall,Pink Floyd: The Wall,0,1982,\N,95,"Drama,Fantasy,Music"
tt0084787,movie,The Thing,The Thing,0,1982,\N,109,"Horror,Mystery,Sci-Fi"
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,\N,131,"Action,Adventure,Fantasy"
tt0086250,movie,Scarface,Scarface,0,1983,\N,170,"Crime,Drama"
tt0086879,movie,Amadeus,Amadeus,0,1984,\N,160,"Biography,Drama,Music"
tt0087544,movie,Nausicaä of the Valley of the Wind,Kaze no tani no Naushika,0,1984,\N,117,"Adventure,Animation,Sci-Fi"
tt0087843,movie,Once Upon a Time in America,Once Upon a Time in America,0,1984,\N,229,"Crime,Drama"
tt0087884,movie,"Paris, Texas","Paris, Texas",0,1984,\N,145,Drama
tt0088247,movie,The Terminator,The Terminator,0,1984,\N,107,"Action,Sci-Fi"
tt0088763,movie,Back to the Future,Back to the Future,0,1985,\N,116,"Adventure,Comedy,Sci-Fi"
tt0089881,movie,Ran,Ran,0,1985,\N,160,"Action,Drama,War"
tt0090605,movie,Aliens,Aliens,0,1986,\N,137,"Action,Adventure,Sci-Fi"
tt0091251,movie,Come and See,Idi i smotri,0,1985,\N,142,"Drama,Thriller,War"
tt0091288,movie,Jean de Florette,Jean de Florette,0,1986,\N,120,"Comedy,Drama"
tt0091763,movie,Platoon,Platoon,0,1986,\N,120,"Drama,War"
tt0092005,movie,Stand by Me,Stand by Me,0,1986,\N,89,"Adventure,Comedy,Drama"
tt0092067,movie,Castle in the Sky,Tenkuu no Shiro Laputa,0,1986,\N,125,"Adventure,Animation,Family"
tt0092593,movie,"Goodbye, Children",Au revoir les enfants,0,1987,\N,104,"Drama,War"
tt0093058,movie,Full Metal Jacket,Full Metal Jacket,0,1987,\N,116,"Drama,War"
tt0093779,movie,The Princess Bride,The Princess Bride,0,1987,\N,98,"Adventure,Comedy,Family"
tt0094625,movie,Akira,Akira,0,1988,\N,124,"Action,Animation,Drama"
tt0095016,movie,Die Hard,Die Hard,0,1988,\N,132,"Action,Thriller"
tt0095327,movie,Grave of the Fireflies,Hotaru no haka,0,1988,\N,89,"Animation,Drama,War"
tt0095765,movie,Cinema Paradiso,Nuovo Cinema Paradiso,0,1988,\N,155,"Drama,Romance"
tt0095953,movie,Rain Man,Rain Man,0,1988,\N,133,Drama
tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,\N,86,"Animation,Comedy,Family"
tt0097165,movie,Dead Poets Society,Dead Poets Society,0,1989,\N,128,"Comedy,Drama"
tt0097216,movie,Do the Right Thing,Do the Right Thing,0,1989,\N,120,"Comedy,Drama"
tt0097223,movie,Time of the Gypsies,Dom za vesanje,0,1988,\N,142,"Comedy,Crime,Drama"
tt0097576,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,\N,127,"Action,Adventure"
tt0099348,movie,Dances with Wolves,Dances with Wolves,0,1990,\N,181,"Adventure,Drama,Western"
tt0099487,movie,Edward Scissorhands,Edward Scissorhands,0,1990,\N,105,"Drama,Fantasy,Romance"
tt0099685,movie,Goodfellas,Goodfellas,0,1990,\N,145,"Biography,Crime,Drama"
tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy"
tt0101640,movie,Raise the Red Lantern,Da hong denglong gaogao gua,0,1991,\N,125,"Drama,Romance"
tt0102138,movie,JFK,JFK,0,1991,\N,189,"Drama,History,Thriller"
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,0,1991,\N,118,"Crime,Drama,Thriller"
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,0,1991,\N,137,"Action,Sci-Fi"
tt0103639,movie,Aladdin,Aladdin,0,1992,\N,90,"Adventure,Animation,Comedy"
tt0105236,movie,Reservoir Dogs,Reservoir Dogs,0,1992,\N,99,"Crime,Thriller"
tt0105323,movie,Scent of a Woman,Scent of a Woman,0,1992,\N,156,Drama
tt0105695,movie,Unforgiven,Unforgiven,0,1992,\N,130,"Drama,Western"
tt0106332,movie,Farewell My Concubine,Ba wang bie ji,0,1992,\N,171,"Drama,Music,Romance"
tt0107048,movie,Groundhog Day,Groundhog Day,0,1993,\N,101,"Comedy,Drama,Fantasy"
tt0107207,movie,In the Name of the Father,In the Name of the Father,0,1993,\N,133,"Biography,Crime,Drama"
tt0107290,movie,Jurassic Park,Jurassic Park,0,1993,\N,127,"Action,Adventure,Sci-Fi"
tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,0,1993,\N,76,"Animation,Family,Fantasy"
tt0108052,movie,Schindler's List,Schindler's List,0,1993,\N,195,"Biography,Drama,History"
tt0108399,movie,True Romance,True Romance,0,1993,\N,119,"Crime,Drama,Romance"
tt0109117,movie,Andaz Apna Apna,Andaz Apna Apna,0,1994,\N,160,"Action,Comedy,Romance"
tt0109424,movie,Chungking Express,Chung Hing sam lam,0,1994,\N,102,"Comedy,Crime,Drama"
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,\N,142,"Drama,Romance"
tt0110357,movie,The Lion King,The Lion King,0,1994,\N,88,"Adventure,Animation,Drama"
tt0110413,movie,Léon: The Professional,Léon,0,1994,\N,110,"Action,Crime,Drama"
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,\N,154,"Crime,Drama"
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,\N,142,Drama
tt0111495,movie,Three Colors: Red,Trois couleurs: Rouge,0,1994,\N,99,"Drama,Mystery,Romance"
tt0112471,movie,Before Sunrise,Before Sunrise,0,1995,\N,101,"Drama,Romance"
tt0112573,movie,Braveheart,Braveheart,0,1995,\N,178,"Biography,Drama,History"
tt0112641,movie,Casino,Casino,0,1995,\N,178,"Crime,Drama"
tt0112870,movie,Dilwale Dulhania Le Jayenge,Dilwale Dulhania Le Jayenge,0,1995,\N,189,"Drama,Romance"
tt0113247,movie,La haine,La haine,0,1995,\N,98,"Crime,Drama"
tt0113277,movie,Heat,Heat,0,1995,\N,170,"Action,Crime,Drama"
tt0114369,movie,Se7en,Se7en,0,1995,\N,127,"Crime,Drama,Mystery"
tt0114709,movie,Toy Story,Toy Story,0,1995,\N,81,"Adventure,Animation,Comedy"
tt0114746,movie,12 Monkeys,Twelve Monkeys,0,1995,\N,129,"Mystery,Sci-Fi,Thriller"
tt0114787,movie,Underground,Underground,0,1995,\N,170,"Comedy,Drama,Fantasy"
tt0114814,movie,The Usual Suspects,The Usual Suspects,0,1995,\N,106,"Crime,Drama,Mystery"
tt0116231,movie,The Bandit,Eskiya,0,1996,\N,128,"Crime,Drama,Thriller"
tt0116282,movie,Fargo,Fargo,0,1996,\N,98,"Crime,Thriller"
tt0117589,movie,Secrets & Lies,Secrets & Lies,0,1996,\N,136,"Comedy,Drama"
tt0117666,movie,Sling Blade,Sling Blade,0,1996,\N,135,Drama
tt0117951,movie,Trainspotting,Trainspotting,0,1996,\N,93,Drama
tt0118694,movie,In the Mood for Love,Fa yeung nin wah,0,2000,\N,98,"Drama,Romance"
